"1494099164057280513,""Bolsonaro elogiou três grandes invenções da Rússia: montanha russa, roleta russa e salada russa!"",",
"1494099055089111040,He's charged with attempted first degree murder for an anti-Semitic terror attack on a mayoral candidate. \n\nJ6 defendants are rotting in jail without bail for misdemeanor trespassing. https://t.co/OjrkZDhDPQ,",
"1494099259733557250,Clinton’s cronies asked researchers to search internet data to establish an “inference” and “narrative” to tie President Trump to Russia. \n\nYou know what we call that? \n\nFraming someone.,",
"1494097537581604868,Call me a conspiracist if you must but how come the BBC have suddenly forgotten all about partygate &amp; Tory cronyism and haven't even mentioned that the High Court found both Hancock &amp; Johnson have acted unlawfully?\n\nRussian v Ukraine seems to have buried everything else?,",
"1494098318820999170,""#Ethiopia Evidence mounting of pattern of Tigrayan forces war crimes, possible crimes against humanity, in areas under their control in Amhara region from July 2021. Incidents of widespread rape, summary killings, looting. ⁦⁦@amnesty  https://t.co/QaVrfqtqyI"",",
"1494099269896261632,""- """"O mundo é a nossa casa... e Deus está acima de todos nós.""""\n- Jair Bolsonaro e Vladimir Putin. https://t.co/Z0aNgJ0wxZ"",",
"1494097536184954883,""Just because Russia’s the sophisticated newsy threat, don’t forget China state sponsored groups are quietly pwning internet facing unpatched vulnerabilities for military and economic advantage. https://t.co/Usvnd5uClT"",",PN
"1494097535551610881,""NEW: Russia has increased its troop presence along the Ukrainian border by as many as 7,000 troops, with some arriving as recently as today, a senior administration official tells us. @NewsNation"",",
"1494099192821829634,Presidente Bolsonaro critica Fachin por fala contra Putin e Rússia. https://t.co/iH2hdERPQo,",
"1494098546966028291,""All this shit we are now learning about TFG, Putin has known about it &amp; more since TFG started Birtherism.\n\nAnd there three questions I'll be waiting to hear answers to: Why did Justice Kennedy resign? What did TFG &amp; Putin have over the GOP? What is Bernie's connection?"",",
"1494099204398100481,""Após o presidente REALMENTE achar que fez a Rússia desistir do conflito com a Ucrânia, o Sensacionalista encerra temporariamente suas atividades e retorna em um momento em que a concorrência seja menos predatória. Obrigado.\n\nps: percebam o ato falho no início da fala. https://t.co/GVHxglzFBn"",",
"1494097534574374916,""@MysterySolvent Heart attack or nose, which will go first?"",",
"1494099156607987715,[2.6 Beta]\n\nName: Haran Tsukishiro Futsu\nSec stat: Crit Rate\n\n(Repost because I messed up the base attack💀) https://t.co/Sr0iW6gw8C,",
"1494097533089505283,""Bundeskanzler Scholz reist in einer extrem angespannten Situation nach Kiew und Moskau. Im Kreml will er #Putin klar machen, dass der Westen einem Angriff auf die #Ukraine mit harten Sanktionen begegnen würde, schreibt @mwehner4. https://t.co/PNoZP6RI0Q"",",
"1494097531088691200,""@Cabinfever2019 @ChaddestChad @EmbassyofRussia @mfa_russia Trust him, he definitely lives in Ukraine and definitely not the UK like you might gather from his Twitter history"",",
"1494099263042764803,Senate confirms Biden Pentagon nominee with Russia expertise despite Hawley effort to slow the process. https://t.co/TpxsSXdMDR,",
"1494097529826254849,""Struggling, to Put Defence Force\nPersonel into #AgedCareCrisis\n\nStruggling, to Send Australias LARGEST Naval Ship to Tonga without Breaking Down\n\nStruggling, to LAUNCH Attack Air Force Aircraft\n\nBUT  WE'LL  DEFEND Australia says\nThe #PeterDutton \n\nhttps://t.co/gcJhdxhftf"",",
"1494098624749486089,""Joe Biden’s statecraft is so solid, even Putin doesn’t know WTF to do.\n\nWe finally have a real POTUS!"",",
